id,category_en,category_ar,name_en,name_ar,price,availability,order,image_key
1,Coffee Corner,ركن القهوة,Turkish Coffee (S/D),قهوة تركي (S/D),40 / 60 EGP,TRUE,1,قهوه.jpg
2,Coffee Corner,ركن القهوة,French Coffee (S/D),قهوة فرنساوي (S/D),45 / 70 EGP,TRUE,2,قهوه.jpg
3,Coffee Corner,ركن القهوة,Hazelnut Coffee (S/D),قهوة بندق (S/D),45 / 70 EGP,TRUE,3,قهوه.jpg
4,Coffee Corner,ركن القهوة,Nutella Coffee (S/D),قهوة نوتيلا (S/D),55 / 70 EGP,TRUE,4,قهوه.jpg
5,Coffee Corner,ركن القهوة,Chocolate Coffee (S/D),قهوة شوكولاتة (S/D),50 / 60 EGP,TRUE,5,قهوه.jpg
6,Espresso Corner,ركن الإسبريسو,Spanish Latte,سبانش لاتيه,75 EGP,TRUE,1,اسبرسو.webp
7,Espresso Corner,ركن الإسبريسو,Latte,لاتيه,70 EGP,TRUE,2,اسبرسو.webp
8,Espresso Corner,ركن الإسبريسو,Cappuccino,كابتشينو,70 EGP,TRUE,3,اسبرسو.webp
9,Espresso Corner,ركن الإسبريسو,Flat White,فلات وايت,65 EGP,TRUE,4,اسبرسو.webp
10,Espresso Corner,ركن الإسبريسو,Mocha,موكا,75 EGP,TRUE,5,اسبرسو.webp
11,Espresso Corner,ركن الإسبريسو,Caramel Mocha,كراميل موكا,75 EGP,TRUE,6,اسبرسو.webp
12,Espresso Corner,ركن الإسبريسو,Caramel Macchiato,كراميل ماكياتو,75 EGP,TRUE,7,اسبرسو.webp
13,Espresso Corner,ركن الإسبريسو,Hot Chocolate,هوت شوكليت,70 EGP,TRUE,8,اسبرسو.webp
14,Espresso Corner,ركن الإسبريسو,Espresso (S/D),إسبريسو (S/D),45 / 55 EGP,TRUE,9,اسبرسو.webp
15,Espresso Corner,ركن الإسبريسو,Espresso Macchiato (S/D),إسبريسو ماكياتو (S/D),50 / 55 EGP,TRUE,10,اسبرسو.webp
16,Espresso Corner,ركن الإسبريسو,Americano (M/L),أمريكانو (M/L),45 / 55 EGP,TRUE,11,اسبرسو.webp
17,Hot Corner,مشروبات ساخنة,Tea (M/L),شاي (M/L),30 / 35 EGP,TRUE,1,مشروب ساخن.webp
18,Hot Corner,مشروبات ساخنة,Tea With Milk (M/L),شاي بحليب (M/L),45 / 45 EGP,TRUE,2,مشروب ساخن.webp
19,Hot Corner,مشروبات ساخنة,Flavored Tea (M/L),شاي بنكهات (M/L),30 / 40 EGP,TRUE,3,مشروب ساخن.webp
20,Hot Corner,مشروبات ساخنة,Herbs Mix (M/L),أعشاب (M/L),40 / 45 EGP,TRUE,4,مشروب ساخن.webp
21,Hot Corner,مشروبات ساخنة,Anise (M/L),ينسون (M/L),30 / 35 EGP,TRUE,5,مشروب ساخن.webp
22,Hot Corner,مشروبات ساخنة,Mint (M/L),نعناع (M/L),30 / 35 EGP,TRUE,6,مشروب ساخن.webp
23,Hot Corner,مشروبات ساخنة,Roselle (M/L),كركديه (M/L),25 / 35 EGP,TRUE,7,مشروب ساخن.webp
24,Hot Corner,مشروبات ساخنة,Cinnamon With Milk (M/L),قرفة بالحليب (M/L),35 / 45 EGP,TRUE,8,مشروب ساخن.webp
25,Hot Corner,مشروبات ساخنة,Sahlab,سحلب سادة,45 EGP,TRUE,9,مشروب ساخن.webp
26,Hot Corner,مشروبات ساخنة,Sahlab Nuts,سحلب مكسرات,55 EGP,TRUE,10,مشروب ساخن.webp
